"staircase_name","2*riser_gt_mm/1000 +  tread_gt_mm/1000","2*riser_alg_mm/1000 +  tread_alg_mm/1000","gt_num_steps","risers_alg","treads_alg","width_gt_mm","width_alg_mm","riser_gt_mm","riser_alg_mm","tread_gt_mm","tread_alg_mm","width_abs_error","width_pct_error","riser_abs_error","riser_pct_error","tread_abs_error","tread_pct_error","mae_width","rmse_width","mae_riser","rmse_riser","mae_tread","rmse_tread"
vesuvio_outdoor_day_1_857,1.0700000,0.477,-1,7,50,1510.00,294.0,156.000,114.0,758.000,249.0,1216.0,80.52980132450331,42.0,26.923076923076923,509.0,67.15039577836411,1150.1666666666667,1155.075538655373,31.166666666666668,33.2540724323102,523.6666666666666,524.7955157328742
vesuvio_outdoor_day_1_858,1.0700000,0.472,-1,13,99,1510.00,253.0,156.000,109.0,758.000,254.0,1257.0,83.24503311258277,47.0,30.128205128205128,504.0,66.49076517150395,1150.1666666666667,1155.075538655373,31.166666666666668,33.2540724323102,523.6666666666666,524.7955157328742
vesuvio_outdoor_day_1_859,1.0700000,0.544,-1,6,88,1510.00,281.0,156.000,138.0,758.000,268.0,1229.0,81.3907284768212,18.0,11.538461538461538,490.0,64.64379947229551,1150.1666666666667,1155.075538655373,31.166666666666668,33.2540724323102,523.6666666666666,524.7955157328742
vesuvio_outdoor_day_1_860,1.0700000,0.525,-1,12,84,1510.00,315.0,156.000,171.0,758.000,183.0,1195.0,79.13907284768212,15.0,9.615384615384615,575.0,75.85751978891821,1150.1666666666667,1155.075538655373,31.166666666666668,33.2540724323102,523.6666666666666,524.7955157328742
vesuvio_outdoor_day_1_861,1.0700000,0.438,-1,12,89,1510.00,511.0,156.000,124.0,758.000,190.0,999.0,66.15894039735099,32.0,20.512820512820515,568.0,74.93403693931398,1150.1666666666667,1155.075538655373,31.166666666666668,33.2540724323102,523.6666666666666,524.7955157328742
vesuvio_outdoor_day_1_862,1.0700000,0.508,-1,12,111,1510.00,505.0,156.000,123.0,758.000,262.0,1005.0,66.55629139072848,33.0,21.153846153846153,496.0,65.4353562005277,1150.1666666666667,1155.075538655373,31.166666666666668,33.2540724323102,523.6666666666666,524.7955157328742
vesuvio_outdoor_day_2_843,1.0690000,0.751,-1,9,139,1430.00,1337.0,165.000,209.0,739.000,333.0,93.0,6.503496503496503,44.0,26.666666666666668,406.0,54.93910690121786,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_844,1.0690000,0.832,-1,7,153,1430.00,257.0,165.000,181.0,739.000,470.0,1173.0,82.02797202797203,16.0,9.696969696969697,269.0,36.40054127198918,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_845,1.0690000,0.542,-1,5,121,1430.00,635.0,165.000,178.0,739.000,186.0,795.0,55.59440559440559,13.0,7.878787878787879,553.0,74.83085250338296,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_846,1.0690000,0.655,-1,5,121,1430.00,247.0,165.000,179.0,739.000,297.0,1183.0,82.72727272727273,14.0,8.484848484848484,442.0,59.810554803788904,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_847,1.0690000,0.524,-1,8,185,1430.00,317.0,165.000,152.0,739.000,220.0,1113.0,77.83216783216783,13.0,7.878787878787879,519.0,70.23004059539919,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_848,1.0690000,0.602,-1,10,155,1430.00,1067.0,165.000,184.0,739.000,234.0,363.0,25.384615384615383,19.0,11.515151515151516,505.0,68.33558863328822,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_849,1.0690000,0.609,-1,8,165,1430.00,400.0,165.000,209.0,739.000,191.0,1030.0,72.02797202797203,44.0,26.666666666666668,548.0,74.15426251691476,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_850,1.0690000,0.698,-1,8,165,1430.00,1103.0,165.000,231.0,739.000,236.0,327.0,22.867132867132867,66.0,40.0,503.0,68.06495263870094,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_851,1.0690000,0.5640000000000001,-1,9,124,1430.00,97.0,165.000,184.0,739.000,196.0,1333.0,93.21678321678321,19.0,11.515151515151516,543.0,73.47767253044655,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_852,1.0690000,0.612,-1,11,135,1430.00,1007.0,165.000,184.0,739.000,244.0,423.0,29.58041958041958,19.0,11.515151515151516,495.0,66.98240866035182,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_853,1.0690000,0.616,-1,10,131,1430.00,197.0,165.000,211.0,739.000,194.0,1233.0,86.22377622377623,46.0,27.87878787878788,545.0,73.74830852503383,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_854,1.0690000,0.66,-1,10,131,1430.00,392.0,165.000,196.0,739.000,268.0,1038.0,72.58741258741259,31.0,18.78787878787879,471.0,63.734776725304464,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_855,1.0690000,0.5640000000000001,-1,8,143,1430.00,264.0,165.000,181.0,739.000,202.0,1166.0,81.53846153846153,16.0,9.696969696969697,537.0,72.66576454668471,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_2_856,1.0690000,0.8049999999999999,-1,6,38,1430.00,705.0,165.000,235.0,739.000,335.0,725.0,50.6993006993007,70.0,42.42424242424242,404.0,54.66847090663058,856.7857142857143,940.8655209813082,30.714285714285715,36.18800116850098,481.42857142857144,487.4418646654916
vesuvio_outdoor_day_3_809,1.0560000,0.551,-1,12,150,1500.00,343.0,170.000,164.0,716.000,223.0,1157.0,77.13333333333334,6.0,3.5294117647058822,493.0,68.85474860335195,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_810,1.0560000,0.533,-1,12,150,1500.00,655.0,170.000,171.0,716.000,191.0,845.0,56.333333333333336,1.0,0.5882352941176471,525.0,73.32402234636872,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_811,1.0560000,0.59,-1,6,146,1500.00,745.0,170.000,178.0,716.000,234.0,755.0,50.333333333333336,8.0,4.705882352941177,482.0,67.31843575418995,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_812,1.0560000,0.618,-1,6,146,1500.00,475.0,170.000,209.0,716.000,200.0,1025.0,68.33333333333333,39.0,22.941176470588236,516.0,72.06703910614524,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_813,1.0560000,0.565,-1,6,146,1500.00,142.0,170.000,146.0,716.000,273.0,1358.0,90.53333333333333,24.0,14.117647058823529,443.0,61.87150837988827,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_814,1.0560000,0.49,-1,10,162,1500.00,101.0,170.000,143.0,716.000,204.0,1399.0,93.26666666666667,27.0,15.882352941176471,512.0,71.50837988826815,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_815,1.0560000,0.44299999999999995,-1,10,162,1500.00,259.0,170.000,118.0,716.000,207.0,1241.0,82.73333333333333,52.0,30.58823529411765,509.0,71.08938547486034,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_816,1.0560000,0.479,-1,10,162,1500.00,811.0,170.000,147.0,716.000,185.0,689.0,45.93333333333333,23.0,13.529411764705882,531.0,74.16201117318435,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_817,1.0560000,0.6639999999999999,-1,8,141,1500.00,357.0,170.000,151.0,716.000,362.0,1143.0,76.2,19.0,11.176470588235293,354.0,49.44134078212291,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_818,1.0560000,0.522,-1,8,141,1500.00,539.0,170.000,133.0,716.000,256.0,961.0,64.06666666666666,37.0,21.764705882352942,460.0,64.24581005586592,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_819,1.0560000,0.584,-1,8,165,1500.00,704.0,170.000,151.0,716.000,282.0,796.0,53.06666666666667,19.0,11.176470588235293,434.0,60.614525139664806,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_820,1.0560000,0.624,-1,11,160,1500.00,366.0,170.000,141.0,716.000,342.0,1134.0,75.6,29.0,17.058823529411764,374.0,52.23463687150838,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_821,1.0560000,0.829,-1,9,175,1500.00,481.0,170.000,229.0,716.000,371.0,1019.0,67.93333333333334,59.0,34.705882352941174,345.0,48.184357541899445,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_822,1.0560000,0.6910000000000001,-1,9,175,1500.00,493.0,170.000,227.0,716.000,237.0,1007.0,67.13333333333334,57.0,33.529411764705884,479.0,66.89944134078212,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_823,1.0560000,0.556,-1,11,183,1500.00,165.0,170.000,132.0,716.000,292.0,1335.0,89.0,38.0,22.352941176470587,424.0,59.21787709497207,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_824,1.0560000,0.51,-1,11,183,1500.00,728.0,170.000,155.0,716.000,200.0,772.0,51.46666666666667,15.0,8.823529411764707,516.0,72.06703910614524,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_825,1.0560000,0.835,-1,11,183,1500.00,361.0,170.000,211.0,716.000,413.0,1139.0,75.93333333333334,41.0,24.11764705882353,303.0,42.31843575418994,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_826,1.0560000,0.461,-1,12,184,1500.00,667.0,170.000,135.0,716.000,191.0,833.0,55.53333333333333,35.0,20.58823529411765,525.0,73.32402234636872,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_827,1.0560000,0.552,-1,9,190,1500.00,808.0,170.000,170.0,716.000,212.0,692.0,46.13333333333333,0.0,0.0,504.0,70.39106145251397,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
vesuvio_outdoor_day_3_828,1.0560000,0.526,-1,9,190,1500.00,655.0,170.000,154.0,716.000,218.0,845.0,56.333333333333336,16.0,9.411764705882353,498.0,69.55307262569832,1022.5588235294117,1043.40932975116,25.41176470588235,30.280065273066644,455.6764705882353,464.14573649434976
