"staircase_name","2*riser_gt_mm/1000 +  tread_gt_mm/1000","2*riser_alg_mm/1000 +  tread_alg_mm/1000","gt_num_steps","risers_alg","treads_alg","width_gt_mm","width_alg_mm","riser_gt_mm","riser_alg_mm","tread_gt_mm","tread_alg_mm","width_abs_error","width_pct_error","riser_abs_error","riser_pct_error","tread_abs_error","tread_pct_error","mae_width","rmse_width","mae_riser","rmse_riser","mae_tread","rmse_tread"
historic_center_1_910,0.7760000,0.5660000000000001,-1,10,12,770.00,733.0,249.000,147.0,278.000,272.0,37.0,4.805194805194805,102.0,40.963855421686745,6.0,2.158273381294964,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_911,0.7760000,0.61,-1,9,11,770.00,736.0,249.000,212.0,278.000,186.0,34.0,4.415584415584416,37.0,14.859437751004016,92.0,33.093525179856115,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_912,0.7760000,0.734,-1,5,4,770.00,928.0,249.000,244.0,278.000,246.0,158.0,20.51948051948052,5.0,2.0080321285140563,32.0,11.510791366906474,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_913,0.7760000,0.6619999999999999,-1,11,7,770.00,741.0,249.000,204.0,278.000,254.0,29.0,3.7662337662337664,45.0,18.072289156626507,24.0,8.633093525179856,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_914,0.7760000,0.696,-1,9,8,770.00,744.0,249.000,228.0,278.000,240.0,26.0,3.3766233766233764,21.0,8.433734939759036,38.0,13.66906474820144,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_915,0.7760000,0.654,-1,13,4,770.00,760.0,249.000,201.0,278.000,252.0,10.0,1.2987012987012987,48.0,19.27710843373494,26.0,9.352517985611511,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_916,0.7760000,0.573,-1,11,6,770.00,779.0,249.000,156.0,278.000,261.0,9.0,1.1688311688311688,93.0,37.34939759036145,17.0,6.115107913669065,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_917,0.7760000,0.495,-1,8,4,770.00,784.0,249.000,165.0,278.000,165.0,14.0,1.8181818181818181,84.0,33.734939759036145,113.0,40.64748201438849,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_918,0.7760000,0.638,-1,8,8,770.00,789.0,249.000,215.0,278.000,208.0,19.0,2.4675324675324677,34.0,13.654618473895582,70.0,25.179856115107913,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_919,0.7760000,0.542,-1,11,7,770.00,745.0,249.000,145.0,278.000,252.0,25.0,3.2467532467532467,104.0,41.76706827309237,26.0,9.352517985611511,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_920,0.7760000,0.597,-1,12,5,770.00,755.0,249.000,173.0,278.000,251.0,15.0,1.948051948051948,76.0,30.522088353413654,27.0,9.712230215827338,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_921,0.7760000,0.635,-1,5,5,770.00,189.0,249.000,209.0,278.000,217.0,581.0,75.45454545454545,40.0,16.06425702811245,61.0,21.942446043165468,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_922,0.7760000,0.51,-1,8,8,770.00,859.0,249.000,141.0,278.000,228.0,89.0,11.558441558441558,108.0,43.373493975903614,50.0,17.985611510791365,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_923,0.7760000,0.5589999999999999,-1,10,9,770.00,759.0,249.000,182.0,278.000,195.0,11.0,1.4285714285714286,67.0,26.907630522088354,83.0,29.85611510791367,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_924,0.7760000,0.534,-1,8,6,770.00,709.0,249.000,147.0,278.000,240.0,61.0,7.922077922077922,102.0,40.963855421686745,38.0,13.66906474820144,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_925,0.7760000,0.506,-1,10,5,770.00,801.0,249.000,133.0,278.000,240.0,31.0,4.025974025974026,116.0,46.5863453815261,38.0,13.66906474820144,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
historic_center_1_926,0.7760000,0.738,-1,5,5,770.00,382.0,249.000,215.0,278.000,308.0,388.0,50.38961038961039,34.0,13.654618473895582,30.0,10.79136690647482,90.41176470588235,176.80547635915647,65.6470588235294,73.87987069640585,45.35294117647059,53.40246744684898
