"staircase_name","2*riser_gt_mm/1000 +  tread_gt_mm/1000","2*riser_alg_mm/1000 +  tread_alg_mm/1000","gt_num_steps","risers_alg","treads_alg","width_gt_mm","width_alg_mm","riser_gt_mm","riser_alg_mm","tread_gt_mm","tread_alg_mm","width_abs_error","width_pct_error","riser_abs_error","riser_pct_error","tread_abs_error","tread_pct_error","mae_width","rmse_width","mae_riser","rmse_riser","mae_tread","rmse_tread"
Rice_stair1_4,0.6300000,0.52,12,5,90,1970.00,1047.0,160.000,116.0,310.000,288.0,923.0,46.85279187817259,44.0,27.5,22.0,7.096774193548387,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair1_5,0.6300000,0.837,12,5,90,1970.00,429.0,160.000,171.0,310.000,495.0,1541.0,78.22335025380711,11.0,6.875,185.0,59.67741935483871,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair1_6,0.6300000,0.7370000000000001,12,5,90,1970.00,296.0,160.000,168.0,310.000,401.0,1674.0,84.9746192893401,8.0,5.0,91.0,29.35483870967742,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair1_7,0.6300000,0.571,12,5,90,1970.00,204.0,160.000,150.0,310.000,271.0,1766.0,89.64467005076142,10.0,6.25,39.0,12.580645161290322,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair1_8,0.6300000,0.733,12,5,90,1970.00,97.0,160.000,163.0,310.000,407.0,1873.0,95.0761421319797,3.0,1.875,97.0,31.29032258064516,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_9,0.6400000,0.6759999999999999,12,24,36,1970.00,1164.0,160.000,209.0,320.000,258.0,806.0,40.91370558375635,49.0,30.625,62.0,19.375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_10,0.6400000,0.755,12,24,36,1970.00,1397.0,160.000,220.0,320.000,315.0,573.0,29.086294416243653,60.0,37.5,5.0,1.5625,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_11,0.6400000,0.577,12,25,49,1970.00,1477.0,160.000,167.0,320.000,243.0,493.0,25.0253807106599,7.0,4.375,77.0,24.0625,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_82,0.6400000,0.581,12,13,85,1970.00,644.0,160.000,155.0,320.000,271.0,1326.0,67.30964467005076,5.0,3.125,49.0,15.3125,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_83,0.6400000,0.505,12,11,90,1970.00,362.0,160.000,132.0,320.000,241.0,1608.0,81.6243654822335,28.0,17.5,79.0,24.6875,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_84,0.6400000,0.791,12,11,90,1970.00,229.0,160.000,194.0,320.000,403.0,1741.0,88.3756345177665,34.0,21.25,83.0,25.9375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_85,0.6400000,0.619,12,11,90,1970.00,130.0,160.000,147.0,320.000,325.0,1840.0,93.4010152284264,13.0,8.125,5.0,1.5625,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_86,0.6400000,0.517,12,11,90,1970.00,427.0,160.000,152.0,320.000,213.0,1543.0,78.3248730964467,8.0,5.0,107.0,33.4375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_87,0.6400000,0.7050000000000001,12,21,303,1970.00,1709.0,160.000,159.0,320.000,387.0,261.0,13.248730964467006,1.0,0.625,67.0,20.9375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_88,0.6400000,0.56,12,21,303,1970.00,1017.0,160.000,142.0,320.000,276.0,953.0,48.3756345177665,18.0,11.25,44.0,13.75,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_89,0.6400000,0.479,12,21,303,1970.00,366.0,160.000,108.0,320.000,263.0,1604.0,81.42131979695432,52.0,32.5,57.0,17.8125,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_90,0.6400000,0.713,12,21,303,1970.00,275.0,160.000,151.0,320.000,411.0,1695.0,86.04060913705584,9.0,5.625,91.0,28.4375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_91,0.6400000,0.525,12,21,303,1970.00,646.0,160.000,132.0,320.000,261.0,1324.0,67.20812182741116,28.0,17.5,59.0,18.4375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_92,0.6400000,0.5880000000000001,12,21,303,1970.00,334.0,160.000,138.0,320.000,312.0,1636.0,83.04568527918782,22.0,13.75,8.0,2.5,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_93,0.6400000,0.548,12,21,303,1970.00,396.0,160.000,148.0,320.000,252.0,1574.0,79.8984771573604,12.0,7.5,68.0,21.25,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_94,0.6400000,0.409,12,21,303,1970.00,434.0,160.000,143.0,320.000,123.0,1536.0,77.96954314720813,17.0,10.625,197.0,61.5625,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_95,0.6400000,0.875,12,21,303,1970.00,823.0,160.000,188.0,320.000,499.0,1147.0,58.223350253807105,28.0,17.5,179.0,55.9375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_96,0.6400000,0.665,12,21,303,1970.00,152.0,160.000,232.0,320.000,201.0,1818.0,92.28426395939087,72.0,45.0,119.0,37.1875,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_97,0.6400000,0.442,12,21,303,1970.00,333.0,160.000,114.0,320.000,214.0,1637.0,83.09644670050761,46.0,28.75,106.0,33.125,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_98,0.6400000,0.46299999999999997,12,21,303,1970.00,520.0,160.000,128.0,320.000,207.0,1450.0,73.60406091370558,32.0,20.0,113.0,35.3125,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_99,0.6400000,0.45799999999999996,12,21,303,1970.00,181.0,160.000,121.0,320.000,216.0,1789.0,90.81218274111676,39.0,24.375,104.0,32.5,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_100,0.6400000,0.7230000000000001,12,21,303,1970.00,159.0,160.000,192.0,320.000,339.0,1811.0,91.92893401015229,32.0,20.0,19.0,5.9375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_101,0.6400000,0.863,12,21,303,1970.00,279.0,160.000,182.0,320.000,499.0,1691.0,85.83756345177665,22.0,13.75,179.0,55.9375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_102,0.6400000,0.478,12,21,303,1970.00,544.0,160.000,143.0,320.000,192.0,1426.0,72.38578680203045,17.0,10.625,128.0,40.0,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_103,0.6400000,0.78,12,21,303,1970.00,808.0,160.000,166.0,320.000,448.0,1162.0,58.984771573604064,6.0,3.75,128.0,40.0,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_104,0.6400000,0.907,12,21,303,1970.00,741.0,160.000,209.0,320.000,489.0,1229.0,62.38578680203046,49.0,30.625,169.0,52.8125,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_105,0.6400000,0.796,12,21,303,1970.00,481.0,160.000,235.0,320.000,326.0,1489.0,75.58375634517766,75.0,46.875,6.0,1.875,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_106,0.6400000,0.93,12,21,303,1970.00,442.0,160.000,234.0,320.000,462.0,1528.0,77.56345177664974,74.0,46.25,142.0,44.375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_107,0.6400000,0.627,12,21,303,1970.00,665.0,160.000,138.0,320.000,351.0,1305.0,66.24365482233503,22.0,13.75,31.0,9.6875,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_108,0.6400000,0.5760000000000001,12,21,303,1970.00,619.0,160.000,121.0,320.000,334.0,1351.0,68.57868020304568,39.0,24.375,14.0,4.375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_109,0.6400000,0.494,12,21,303,1970.00,281.0,160.000,134.0,320.000,226.0,1689.0,85.73604060913705,26.0,16.25,94.0,29.375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_110,0.6400000,0.567,12,21,303,1970.00,172.0,160.000,182.0,320.000,203.0,1798.0,91.26903553299492,22.0,13.75,117.0,36.5625,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_111,0.6400000,0.912,12,21,303,1970.00,167.0,160.000,225.0,320.000,462.0,1803.0,91.5228426395939,65.0,40.625,142.0,44.375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_112,0.6400000,0.587,12,21,303,1970.00,255.0,160.000,139.0,320.000,309.0,1715.0,87.05583756345177,21.0,13.125,11.0,3.4375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_113,0.6400000,0.8140000000000001,12,8,287,1970.00,1095.0,160.000,163.0,320.000,488.0,875.0,44.41624365482234,3.0,1.875,168.0,52.5,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_114,0.6400000,0.835,12,8,287,1970.00,245.0,160.000,176.0,320.000,483.0,1725.0,87.56345177664974,16.0,10.0,163.0,50.9375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_115,0.6400000,0.83,12,8,287,1970.00,473.0,160.000,176.0,320.000,478.0,1497.0,75.98984771573605,16.0,10.0,158.0,49.375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_116,0.6400000,0.637,12,8,287,1970.00,975.0,160.000,211.0,320.000,215.0,995.0,50.50761421319797,51.0,31.875,105.0,32.8125,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_117,0.6400000,0.6990000000000001,12,8,287,1970.00,231.0,160.000,168.0,320.000,363.0,1739.0,88.2741116751269,8.0,5.0,43.0,13.4375,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_118,0.6400000,0.728,12,8,287,1970.00,491.0,160.000,167.0,320.000,394.0,1479.0,75.0761421319797,7.0,4.375,74.0,23.125,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_119,0.6400000,0.5760000000000001,12,8,287,1970.00,133.0,160.000,161.0,320.000,254.0,1837.0,93.248730964467,1.0,0.625,66.0,20.625,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
Rice_stair2_120,0.6400000,0.636,12,8,287,1970.00,492.0,160.000,169.0,320.000,298.0,1478.0,75.0253807106599,9.0,5.625,22.0,6.875,1566.1899441340781,1593.1944159227317,30.251396648044693,37.5293553630552,85.64804469273743,99.52324901736311
