"staircase_name","gt_num_steps","risers_alg","treads_alg","width_gt_mm","width_alg_mm","riser_gt_mm","riser_alg_mm","tread_gt_mm","tread_alg_mm","width_abs_error","width_pct_error","riser_abs_error","riser_pct_error","tread_abs_error","tread_pct_error","mae_width","rmse_width","mae_riser","rmse_riser","mae_tread","rmse_tread"
exp_1_valid1,8,8,5,1200.00,1200.0,155.000,152.0,310.000,311.0,0.0,0.0,3.0,1.935483870967742,1.0,0.3225806451612903,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid2,10,15,6,1400.00,1423.0,160.000,158.0,320.000,321.0,23.0,1.6428571428571428,2.0,1.25,1.0,0.3125,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid3,12,16,4,1600.00,1601.0,165.000,166.0,310.000,311.0,1.0,0.0625,1.0,0.6060606060606061,1.0,0.3225806451612903,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid4,14,17,6,2000.00,1992.0,157.000,156.0,330.000,331.0,8.0,0.4,1.0,0.6369426751592356,1.0,0.30303030303030304,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid5,9,15,6,1250.00,1252.0,158.000,159.0,320.000,322.0,2.0,0.16,1.0,0.6329113924050633,2.0,0.625,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid6,16,18,4,1800.00,1801.0,170.000,166.0,300.000,301.0,1.0,0.05555555555555555,4.0,2.3529411764705883,1.0,0.3333333333333333,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid7,11,14,4,1350.00,1353.0,156.000,162.0,330.000,331.0,3.0,0.2222222222222222,6.0,3.8461538461538463,1.0,0.30303030303030304,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid8,7,10,4,1220.00,1221.0,159.000,155.0,320.000,321.0,1.0,0.08196721311475409,4.0,2.5157232704402515,1.0,0.3125,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid9,20,22,8,2500.00,2489.0,162.000,160.0,310.000,311.0,11.0,0.44,2.0,1.2345679012345678,1.0,0.3225806451612903,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid10,13,13,2,1500.00,1502.0,163.000,168.0,310.000,311.0,2.0,0.13333333333333333,5.0,3.067484662576687,1.0,0.3225806451612903,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid11,9,10,4,1210.00,1215.0,155.000,153.0,320.000,321.0,5.0,0.4132231404958678,2.0,1.2903225806451613,1.0,0.3125,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid12,15,14,8,1280.00,1280.0,166.000,165.0,310.000,311.0,0.0,0.0,1.0,0.6024096385542169,1.0,0.3225806451612903,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid13,18,18,4,1700.00,1709.0,158.000,159.0,320.000,321.0,9.0,0.5294117647058824,1.0,0.6329113924050633,1.0,0.3125,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid14,6,8,5,1230.00,1232.0,170.000,168.0,300.000,301.0,2.0,0.16260162601626016,2.0,1.1764705882352942,1.0,0.3333333333333333,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid15,10,12,4,1950.00,1950.0,160.000,157.0,310.000,311.0,0.0,0.0,3.0,1.875,1.0,0.3225806451612903,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid16,11,11,1,1300.00,1300.0,162.000,173.0,310.000,310.0,0.0,0.0,11.0,6.790123456790123,0.0,0.0,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid17,22,22,3,2200.00,2196.0,155.000,153.0,320.000,321.0,4.0,0.18181818181818182,2.0,1.2903225806451613,1.0,0.3125,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid18,12,12,3,1450.00,1454.0,159.000,160.0,320.000,321.0,4.0,0.27586206896551724,1.0,0.6289308176100629,1.0,0.3125,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid19,10,11,3,1240.00,1240.0,165.000,173.0,310.000,311.0,0.0,0.0,8.0,4.848484848484849,1.0,0.3225806451612903,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid20,14,14,3,1260.00,1260.0,158.000,171.0,330.000,331.0,0.0,0.0,13.0,8.227848101265822,1.0,0.30303030303030304,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid21,17,16,7,1340.00,1340.0,157.000,157.0,330.000,331.0,0.0,0.0,0.0,0.0,1.0,0.30303030303030304,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid22,8,10,3,1290.00,1290.0,161.000,163.0,310.000,311.0,0.0,0.0,2.0,1.2422360248447204,1.0,0.3225806451612903,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid23,19,21,2,2100.00,2092.0,156.000,154.0,330.000,331.0,8.0,0.38095238095238093,2.0,1.2820512820512822,1.0,0.30303030303030304,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid24,12,12,2,1480.00,1483.0,159.000,166.0,320.000,321.0,3.0,0.20270270270270271,7.0,4.40251572327044,1.0,0.3125,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid25,13,12,3,1360.00,1361.0,164.000,171.0,310.000,311.0,1.0,0.07352941176470588,7.0,4.2682926829268295,1.0,0.3225806451612903,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid26,9,9,4,1600.00,1601.0,160.000,160.0,320.000,321.0,1.0,0.0625,0.0,0.0,1.0,0.3125,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid27,7,7,6,1330.00,1330.0,157.000,157.0,330.000,331.0,0.0,0.0,0.0,0.0,1.0,0.30303030303030304,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid28,21,22,6,2300.00,2287.0,158.000,157.0,320.000,321.0,13.0,0.5652173913043478,1.0,0.6329113924050633,1.0,0.3125,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid29,15,16,1,1720.00,1721.0,161.000,160.0,310.000,311.0,1.0,0.05813953488372093,1.0,0.6211180124223602,1.0,0.3225806451612903,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_valid30,20,22,4,1900.00,1900.0,165.000,164.0,310.000,311.0,0.0,0.0,1.0,0.6060606060606061,1.0,0.3225806451612903,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid30,4,4,5,1100.00,1100.0,190.000,191.0,250.000,251.0,0.0,0.0,1.0,0.5263157894736842,1.0,0.4,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid29,10,10,2,1500.00,1500.0,175.000,177.0,260.000,261.0,0.0,0.0,2.0,1.1428571428571428,1.0,0.38461538461538464,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid28,6,6,1,1250.00,1251.0,140.000,140.0,300.000,302.0,1.0,0.08,0.0,0.0,2.0,0.6666666666666666,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid27,5,7,5,1100.00,1100.0,170.000,169.0,280.000,280.0,0.0,0.0,1.0,0.5882352941176471,0.0,0.0,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid26,12,12,2,1400.00,1401.0,180.000,181.0,310.000,311.0,1.0,0.07142857142857142,1.0,0.5555555555555556,1.0,0.3225806451612903,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid25,11,12,5,1280.00,1288.0,160.000,165.0,270.000,271.0,8.0,0.625,5.0,3.125,1.0,0.37037037037037035,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid24,7,9,2,1000.00,1002.0,130.000,140.0,340.000,340.0,2.0,0.2,10.0,7.6923076923076925,0.0,0.0,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid23,10,11,2,1350.00,1352.0,190.000,188.0,290.000,290.0,2.0,0.14814814814814814,2.0,1.0526315789473684,0.0,0.0,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid22,14,14,0,1500.00,1506.0,168.000,171.0,240.000,241.0,6.0,0.4,3.0,1.7857142857142858,1.0,0.4166666666666667,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid21,10,10,3,1280.00,1281.0,161.000,164.0,297.000,298.0,1.0,0.078125,3.0,1.8633540372670807,1.0,0.3367003367003367,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid20,9,9,5,1150.00,1152.0,160.000,164.0,290.000,291.0,2.0,0.17391304347826086,4.0,2.5,1.0,0.3448275862068966,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid19,12,12,6,1600.00,1612.0,120.000,123.0,360.000,360.0,12.0,0.75,3.0,2.5,0.0,0.0,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid18,10,10,6,1400.00,1408.0,158.000,165.0,285.000,286.0,8.0,0.5714285714285714,7.0,4.430379746835443,1.0,0.3508771929824561,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid17,13,13,3,1100.00,1100.0,185.000,197.0,310.000,310.0,0.0,0.0,12.0,6.486486486486487,0.0,0.0,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid16,11,12,1,1300.00,1327.0,180.000,193.0,360.000,361.0,27.0,2.076923076923077,13.0,7.222222222222222,1.0,0.2777777777777778,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid15,6,6,1,1050.00,1051.0,165.000,173.0,280.000,282.0,1.0,0.09523809523809523,8.0,4.848484848484849,2.0,0.7142857142857143,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid14,10,10,4,1500.00,1501.0,130.000,134.0,340.000,341.0,1.0,0.06666666666666667,4.0,3.076923076923077,1.0,0.29411764705882354,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
