"staircase_name","2*riser_gt_mm/1000 +  tread_gt_mm/1000","2*riser_alg_mm/1000 +  tread_alg_mm/1000","gt_num_steps","risers_alg","treads_alg","width_gt_mm","width_alg_mm","riser_gt_mm","riser_alg_mm","tread_gt_mm","tread_alg_mm","width_abs_error","width_pct_error","riser_abs_error","riser_pct_error","tread_abs_error","tread_pct_error","mae_width","rmse_width","mae_riser","rmse_riser","mae_tread","rmse_tread"
Vesuvio_stair_valid_491,0.6500000,0.777,10,20,19,1100.00,816.0,160.000,271.0,330.000,235.0,284.0,25.818181818181817,111.0,69.375,95.0,28.78787878787879,217.7,394.91074941054717,64.0,70.13558298039591,99.8,106.51384886483072
Vesuvio_stair_valid_492,0.6500000,0.616,10,20,19,1100.00,1117.0,160.000,207.0,330.000,202.0,17.0,1.5454545454545454,47.0,29.375,128.0,38.78787878787879,217.7,394.91074941054717,64.0,70.13558298039591,99.8,106.51384886483072
Vesuvio_stair_valid_493,0.6500000,0.644,10,24,17,1100.00,1119.0,160.000,226.0,330.000,192.0,19.0,1.7272727272727273,66.0,41.25,138.0,41.81818181818182,217.7,394.91074941054717,64.0,70.13558298039591,99.8,106.51384886483072
Vesuvio_stair_valid_494,0.6500000,0.645,10,24,17,1100.00,299.0,160.000,188.0,330.000,269.0,801.0,72.81818181818181,28.0,17.5,61.0,18.484848484848484,217.7,394.91074941054717,64.0,70.13558298039591,99.8,106.51384886483072
Vesuvio_stair_valid_495,0.6500000,0.744,10,20,30,1100.00,1102.0,160.000,241.0,330.000,262.0,2.0,0.18181818181818182,81.0,50.625,68.0,20.606060606060606,217.7,394.91074941054717,64.0,70.13558298039591,99.8,106.51384886483072
Vesuvio_stair_valid_496,0.6500000,0.751,10,20,30,1100.00,1058.0,160.000,262.0,330.000,227.0,42.0,3.8181818181818183,102.0,63.75,103.0,31.21212121212121,217.7,394.91074941054717,64.0,70.13558298039591,99.8,106.51384886483072
Vesuvio_stair_valid_497,0.6500000,0.6920000000000001,10,19,25,1100.00,1179.0,160.000,232.0,330.000,228.0,79.0,7.181818181818182,72.0,45.0,102.0,30.90909090909091,217.7,394.91074941054717,64.0,70.13558298039591,99.8,106.51384886483072
Vesuvio_stair_valid_498,0.6500000,0.641,10,19,25,1100.00,1100.0,160.000,221.0,330.000,199.0,0.0,0.0,61.0,38.125,131.0,39.696969696969695,217.7,394.91074941054717,64.0,70.13558298039591,99.8,106.51384886483072
Vesuvio_stair_valid_499,0.6500000,0.62,10,25,19,1100.00,1123.0,160.000,219.0,330.000,182.0,23.0,2.090909090909091,59.0,36.875,148.0,44.84848484848485,217.7,394.91074941054717,64.0,70.13558298039591,99.8,106.51384886483072
Vesuvio_stair_valid_500,0.6500000,0.6,10,25,19,1100.00,190.0,160.000,147.0,330.000,306.0,910.0,82.72727272727273,13.0,8.125,24.0,7.2727272727272725,217.7,394.91074941054717,64.0,70.13558298039591,99.8,106.51384886483072
